pedestrian,920,525,15,16
pedestrian,913,532,39,64
bicycle,310,476,31,21
bicycle,770,209,43,22
bicycle,774,307,21,20
bicycle,238,544,19,11
car,1066,295,85,69
car,872,278,92,74
car,828,647,58,96
car,868,750,82,93
car,937,159,100,75
car,1234,118,62,66
car,695,649,80,87
car,558,438,78,80
car,176,746,97,62
car,789,562,59,91
car,517,83,63,71
car,820,117,92,71
car,1162,231,95,71
car,282,674,91,78
car,1050,242,76,61
car,1042,99,92,69
car,671,767,67,77
car,1166,100,79,66
car,998,711,82,94
car,1158,35,90,67
car,825,181,81,68
car,979,221,81,63
car,962,352,85,69
car,1258,55,40,55
car,1059,158,87,73
car,913,598,86,102
car,1105,13,80,61
car,838,230,89,70
car,1064,803,69,59
car,912,126,89,69
car,928,317,86,61
car,411,127,69,78
car,351,58,67,69
car,386,501,138,78
van,826,653,61,93
van,838,234,92,66
truck,1047,401,28,35
awning-tricycle,992,807,51,52
awning-tricycle,1066,803,65,56
awning-tricycle,640,826,34,37
awning-tricycle,272,368,28,41
awning-tricycle,489,748,83,103
awning-tricycle,519,80,62,75
awning-tricycle,587,684,66,67
awning-tricycle,1009,727,73,79
bus,358,498,159,90
bus,1165,228,89,83
motor,772,202,41,25
motor,1278,264,17,22
motor,178,558,29,23
motor,347,399,21,17
