car,1039,233,111,101
car,1259,302,109,55
car,1075,586,68,116
car,970,190,62,104
car,820,863,55,110
car,404,464,111,55
car,1625,655,102,104
car,770,89,55,118
car,960,779,54,113
car,932,0,52,73
car,1778,640,95,120
car,1718,676,90,103
car,1006,392,55,109
car,97,466,128,58
car,862,694,52,108
car,262,462,124,57
car,840,139,53,119
car,1644,591,115,55
car,1273,370,140,60
car,1736,660,110,116
car,1667,665,111,108
car,935,379,57,120
tricycle,1829,211,72,88
motor,414,730,104,64
bicycle,1598,747,40,61
motor,1208,268,38,38
motor,1091,366,30,45
truck,255,344,138,65
